# SUPERSEDED 1 Aug 2026 by golden_example_SIVANTO_400_SL_analyst_paste.txt,
# which the analyst designated authoritative. Retained, not deleted: Tasks 34-45
# and the entire run history were graded against this file, and that record has
# to stay readable for the corrections to make sense.
#
# DO NOT grade a run against this file. Where the two disagree — App. Timing
# (other), App. Equipment casing, plant-house and soil Site Status, use-name
# casing and crop-group codes — the paste wins.
#
# NOTE: this file has the SAME 24 columns as the paste. It does NOT contain
# App Rate (lb ai/A), REI or PPE either, so it cannot serve as the source for
# those three. See Task 46.
Reg. #/ File Sym	Physical Form.	Product Name (PBN)	Use	Use Site	App. Target	App. Type	App. Equipment	App. Timing (Site Status)	App. Timing (other)	A.I. Max Single Rate / App. (lb a.i./A)	Max # Apps / C.C.	A. I. Max Total Rate / C.C. (lb a.i./A)	Max # Apps / Yr.	A. I. Max Total Rate / Yr. (lb a.i./A)	MRI (days)	PHI (days)	Additional Information	Max No. of CC/yr	Geographic Restrictions	Drift Restrictions	Soil Restrictions	On-field Non-target Species Restrictions	Additional Restrictions for Use/Use Site
264-1198	SL	SIVANTO® 400 SL	CITRUS FRUITS (Crop Group 10-10)	Agricultural (Outdoor)	Soil	Chemigation, Drench, Shank	Chemigation low-pressure drip, trickle, micro-sprinkler, Shank or subsurface side-dress injection; Basal drench	Post-emergence	When pests occur	0.365	1	0.365	1	0.365	NS	30	Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Basal drench in sufficient water to move into root zone; Shank or subsurface side-dress, injected to a depth just above or just within the root zone and between the trunk and drip line of the tree canopy. Apply product in a min. of 10 gals/A using multiple shanks on both sides of trees. Ensure product placement is below sod or orchard floor debris. Irrigation covering entire treated area should follow within 48 hours to promote uptake by root system.	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	Ensure product placement is below sod or orchard floor debris.	Not Applicable	Not commercial product.
264-1198	SL	SIVANTO® 400 SL	Clover (Grown for Forage, Fodder, Seed, Straw, and Hay)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests occur	0.183	NS	0.365	NS	0.365	10	14	Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial	1	Only For Use in: Idaho, Oregon, and Washington.NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN).	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; Only For Use in: Idaho, Oregon, and Washington. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	Cottonseed (Subgroup 20c) Including production for Seed	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests occur	0.183	NS	0.365	NS	0.365	10	14	Minimum Application Volume: 10 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	CUCURBIT VEGETABLES (Crop Group 9)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, sprinkler-type overhead chemigation equipment	Post-emergence	When pests occur	0.183	NS	0.365	NS	0.365	7	1	Do not apply as a foliar application to muskmelon. A mild yellowing on leaf margins is sometimes seen following application in cucurbits.	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	CUCURBIT VEGETABLES (Crop Group 9)	Agricultural (Outdoor)	Soil	Chemigation, Injection, In-furrow spray, Drench	Chemigation low-pressure drip, trickle, micro-sprinkler, injection for planting, potting hole drench or post-transplant drench	Pre-emergence/ Post-emergence	when pests occur	0.365	1	0.365	3	1.095	NS	21	A mild yellowing on leaf margins is sometimes seen following application in cucurbits.	3	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	For injection: Place SIVANTO 400 SL 3 - 4 inches below seed line.	Not Applicable	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	CUCURBIT VEGETABLES (Crop Group 9)	Planthouse	Soil	Drench	Uniform, broadcast high-volume foliar spray, followed immediately by sufficient overhead irrigation to wash product from foliage into potting media; Injection into overhead irrigation system.	Pre-transplant	24 hours to 7 days prior to transplanting	0.0028	1	NS	NS	1.095	NS	21	Only for use on seedlings intended as transplants. Not for use in Greenhouses. An additional field application must be made within 2 weeks following transplanting to provide continuous protection.	3	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	Not Applicable	Not Applicable	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	FRUITING VEGETABLES (Crop Group 8-10)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	0.365	7	1	Minimum Application Volume: 10 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	FRUITING VEGETABLES (Crop Group 8-10)	Agricultural (Outdoor)	Soil	Chemigation, Injection, In-furrow spray, Drench	Chemigation low-pressure drip, trickle, micro-sprinkler, injection for planting, potting hole drench or post-transplant drench	Pre-emergence/ Post-emergence	when pests occur	0.365	1	0.365	3	1.095	NS	45	Injection: Place SIVANTO 400 SL 3 - 4 inches below seed line.	3	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	For injection: Place SIVANTO 400 SL 3 - 4 inches below seed line.	Not Applicable	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	FRUITING VEGETABLES (Crop Group 8-10)	Planthouse	Soil	Drench	Uniform, broadcast high-volume foliar spray, followed immediately by sufficient overhead irrigation to wash product from foliage into potting media; Injection into overhead irrigation system.	Pre-transplant	24 hours to 7 days prior to transplanting	0.0028	1	NS	NS	1.095	NS	45	Only for use on seedlings intended as transplants. Not for use in Greenhouses. An additional field application must be made within 2 weeks following transplanting to provide continuous protection.	3	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	Not Applicable	Not Applicable	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	HOP	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.138	NS	0.138	NS	0.138	NS	21	Minimum Application Volume: 25 Gallons/Acre (Ground); 10 Gallons/Acre (Aerial)	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	KAVA	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	1.095	10	7	Minimum Application Volume: 10 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	3	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	LEAFY VEGETABLES - EXCEPT BRASSICA VEGETABLES (Crop Group 4)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	1.095	7	1	Minimum Application Volume: 10 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	3	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	LEAFY VEGETABLES - EXCEPT BRASSICA VEGETABLES (Crop Group 4)	Agricultural (Outdoor)	Soil	Chemigation, Injection, In-furrow spray, Drench	Chemigation low-pressure drip, trickle, micro-sprinkler, injection for planting, potting hole drench or post-transplant drench	Pre-emergence/ Post-emergence	when pests occur	0.365	1	0.365	3	1.095	NS	21	Injection: Place SIVANTO 400 SL 3 - 4 inches below seed line.	3	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	For injection: Place SIVANTO 400 SL 3 - 4 inches below seed line.	Not Applicable	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	LEGUME VEGETABLES (Crop Groups 6 & 7)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	0.365	10	7 (forage/fresh seed); 21 (dry soybean seed)	Minimum Application Volume: 10 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	LOW GROWING BERRY (Crop Subgroup 13-07G) - EXCEPT CRANBERRY	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	0.365	10	0	Minimum Application Volume: 10 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	LOW GROWING BERRY (Crop Subgroup 13-07G) - EXCEPT CRANBERRY	Agricultural (Outdoor)	Soil	Drench, Chemigation	Potting hole drench at transplanting; Chemigation into root-zone through low-pressure drip, trickle, micro-sprinkler or equivalent equipment	At-planting / Post-transplant	When pests occur	0.365	1	0.365	3	1.095	NS	1	Potting hole drench at transplanting; Chemigation into root-zone through low-pressure drip, trickle, micro-sprinkler or equivalent equipment	3	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	Not Applicable	Not Applicable	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	PEANUT	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	0.365	10	7	Minimum Application Volume: 10 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	POME FRUITS (Crop Group 11-10)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	0.365	10	14	For best results, combine with a horticultural oil for pre-bloom applications targeting San Jose scale. Do not apply with horticultural oils to pear in late-season or during periods of above average temperatures.	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	POME FRUITS (Crop Group 11-10)	Agricultural (Outdoor)	Soil	Chemigation, Drench, Shank	Chemigation into root zone; At-transplant drench; Post-transplant drench; Shank or subsurface side-dress	Pre-emergence/ Post-emergence	When pests occur	0.365	1	0.365	1	0.365	NS	30	Shank or subsurface side-dress, injected to a depth just above or just within the root zone and between the trunk and drip line of the tree canopy. Apply product in a minimum of 10 gallons per acre using multiple shanks on both sides of trees.	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	Ensure product placement is below sod or orchard floor debris.	Not Applicable	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	ROOT VEGETABLES - EXCEPT SUGARBEET (Subgroup 1B)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	0.365	10	7	Minimum Application Volume: 10 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	Do not harvest the tops (leaves) from any crop listed under Crop Subgroup 1B, except turnip greens and kava leaves, for human or livestock consumption.
264-1198	SL	SIVANTO® 400 SL	SMALL FRUIT VINE CLIMBING - EXCEPT FUZZY KIWIFRUIT (Crop Subgroup 13-07F)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	0.365	10	0	Minimum Application Volume: 25 Gallons/Acre (Ground); 10 Gallons/Acre (Aerial)	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	SMALL FRUIT VINE CLIMBING - EXCEPT FUZZY KIWIFRUIT (Crop Subgroup 13-07F)	Agricultural (Outdoor)	Soil	Chemigation, Drench	Chemigation into root zone; Basal drench	Post-emergence	When pests occur	0.365	1	0.365	1	0.365	NS	30	Basal drench in sufficient water to move SIVANTO 400 SL into root zone.	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	Not Applicable	Not Applicable	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
